year,month,week,day,building,floor,average_timespent
2020,10,44,30,tokyu,000_tokyu,412.99195285819223
2020,10,44,30,tower,000_tower,2355.667729236553
2020,10,44,31,alaart,001_alaart2nd,133.7530630401161
2020,10,44,31,alaart,002_alaart3rd,211.35615054857772
2020,10,44,31,mbk,000_g,1266.4071097206725
2020,10,44,31,mbk,001_2nd,1308.1010694161596
2020,10,44,31,mbk,002_3rd,57.57123391386631
2020,10,44,31,mbk,003_4th,1636.7579627298292
2020,10,44,31,mbk,004_5th,565.6680644178377
2020,10,44,31,mbk,005_6th,1097.8049240598848
2020,10,44,31,mbk,006_7th,2885.6914553971656
2020,10,44,31,mbk,007_8th,52.63099624902679
2020,10,44,31,mbk,008_m,636.0717247097818
2020,10,44,31,tokyu,000_tokyu,99.36796119562496
2020,10,44,31,tower,000_tower,4923.0742446679615
