year,month,week,day,building,floor,zone,entrance,exit
2020,10,44,26,mbk,005_6th,6a,5595,5630
2020,10,44,26,mbk,005_6th,6b,7485,7658
2020,10,44,26,mbk,005_6th,6c,5523,5665
2020,10,44,26,mbk,005_6th,6d,1762,1830
2020,10,44,26,mbk,006_7th,7z,5930,5630
2020,10,44,26,mbk,007_8th,8z,1258,1530
2020,10,44,26,mbk,008_m,mz,324,350
2020,10,44,26,tokyu,000_tokyu,tokyu,9689,9539
2020,10,44,26,tower,000_tower,tower,2215,2073
2020,10,44,27,alaart,001_alaart2nd,alaart2z,2160,2667
2020,10,44,27,alaart,002_alaart3rd,alaart3z,2781,2245
2020,10,44,27,mbk,000_g,ga,6003,6039
2020,10,44,27,mbk,000_g,gb,13344,13620
2020,10,44,27,mbk,000_g,gc,10603,10565
2020,10,44,27,mbk,000_g,gd,7710,6696
2020,10,44,27,mbk,001_2nd,2a,9804,9956
2020,10,44,27,mbk,001_2nd,2b,16435,15932
2020,10,44,27,mbk,001_2nd,2c,12160,12524
2020,10,44,27,mbk,001_2nd,2d,4019,3882
2020,10,44,27,mbk,002_3rd,3a,8290,8414
2020,10,44,27,mbk,002_3rd,3b,14167,14064
2020,10,44,27,mbk,002_3rd,3c,7820,7959
2020,10,44,27,mbk,002_3rd,3d,8719,8762
2020,10,44,27,mbk,003_4th,4a,8037,7886
2020,10,44,27,mbk,003_4th,4b,16714,16795
2020,10,44,27,mbk,003_4th,4c,14840,14158
2020,10,44,27,mbk,003_4th,4d,7358,7734
2020,10,44,27,mbk,004_5th,5a,6263,6653
2020,10,44,27,mbk,004_5th,5b,8013,8158
2020,10,44,27,mbk,004_5th,5c,4948,4936
2020,10,44,27,mbk,004_5th,5d,2195,2104
2020,10,44,27,mbk,005_6th,6a,5651,5648
2020,10,44,27,mbk,005_6th,6b,8522,8510
2020,10,44,27,mbk,005_6th,6c,6162,6433
2020,10,44,27,mbk,005_6th,6d,1956,1985
2020,10,44,27,mbk,006_7th,7z,6093,5868
2020,10,44,27,mbk,007_8th,8z,1382,1727
2020,10,44,27,mbk,008_m,mz,315,359
2020,10,44,27,tokyu,000_tokyu,tokyu,9582,9561
2020,10,44,27,tower,000_tower,tower,2290,2210
2020,10,44,28,alaart,001_alaart2nd,alaart2z,2526,3096
2020,10,44,28,alaart,002_alaart3rd,alaart3z,3230,2608
2020,10,44,28,mbk,000_g,ga,6644,6642
2020,10,44,28,mbk,000_g,gb,13858,14172
2020,10,44,28,mbk,000_g,gc,11268,11243
2020,10,44,28,mbk,000_g,gd,7918,7118
2020,10,44,28,mbk,001_2nd,2a,10334,10626
2020,10,44,28,mbk,001_2nd,2b,19202,18187
2020,10,44,28,mbk,001_2nd,2c,14387,14859
2020,10,44,28,mbk,001_2nd,2d,4470,4394
2020,10,44,28,mbk,002_3rd,3a,8798,9003
2020,10,44,28,mbk,002_3rd,3b,15012,15326
2020,10,44,28,mbk,002_3rd,3c,8502,8724
2020,10,44,28,mbk,002_3rd,3d,9285,9277
2020,10,44,28,mbk,003_4th,4a,8574,8375
2020,10,44,28,mbk,003_4th,4b,17849,17780
2020,10,44,28,mbk,003_4th,4c,16136,15596
2020,10,44,28,mbk,003_4th,4d,7747,8135
2020,10,44,28,mbk,004_5th,5a,6828,7055
2020,10,44,28,mbk,004_5th,5b,8818,9035
2020,10,44,28,mbk,004_5th,5c,6858,6745
2020,10,44,28,mbk,004_5th,5d,2881,2710
2020,10,44,28,mbk,005_6th,6a,6193,6319
2020,10,44,28,mbk,005_6th,6b,9488,9540
2020,10,44,28,mbk,005_6th,6c,9847,10622
2020,10,44,28,mbk,005_6th,6d,4935,4621
2020,10,44,28,mbk,006_7th,7z,6741,6448
2020,10,44,28,mbk,007_8th,8z,1392,1718
2020,10,44,28,mbk,008_m,mz,362,405
2020,10,44,28,tokyu,000_tokyu,tokyu,10796,10685
2020,10,44,28,tower,000_tower,tower,2360,2319
2020,10,44,29,alaart,001_alaart2nd,alaart2z,2255,2762
2020,10,44,29,alaart,002_alaart3rd,alaart3z,2871,2359
2020,10,44,29,mbk,000_g,ga,6797,6724
2020,10,44,29,mbk,000_g,gb,13645,13845
2020,10,44,29,mbk,000_g,gc,10517,10513
2020,10,44,29,mbk,000_g,gd,7419,6526
2020,10,44,29,mbk,001_2nd,2a,10954,11190
2020,10,44,29,mbk,001_2nd,2b,17992,17865
2020,10,44,29,mbk,001_2nd,2c,13575,13654
2020,10,44,29,mbk,001_2nd,2d,3935,3878
2020,10,44,29,mbk,002_3rd,3a,9140,9349
2020,10,44,29,mbk,002_3rd,3b,14123,14194
2020,10,44,29,mbk,002_3rd,3c,8066,8303
2020,10,44,29,mbk,002_3rd,3d,8754,8806
2020,10,44,29,mbk,003_4th,4a,8151,8092
2020,10,44,29,mbk,003_4th,4b,16435,16458
2020,10,44,29,mbk,003_4th,4c,14608,14010
2020,10,44,29,mbk,003_4th,4d,7077,7398
2020,10,44,29,mbk,004_5th,5a,6334,6761
2020,10,44,29,mbk,004_5th,5b,8071,8103
2020,10,44,29,mbk,004_5th,5c,4851,4906
2020,10,44,29,mbk,004_5th,5d,2038,1934
2020,10,44,29,mbk,005_6th,6a,5717,5678
2020,10,44,29,mbk,005_6th,6b,8269,8351
2020,10,44,29,mbk,005_6th,6c,6130,6282
2020,10,44,29,mbk,005_6th,6d,1748,1792
2020,10,44,29,mbk,006_7th,7z,5764,5592
2020,10,44,29,mbk,007_8th,8z,1387,1743
2020,10,44,29,mbk,008_m,mz,412,431
2020,10,44,29,tokyu,000_tokyu,tokyu,11220,11196
2020,10,44,29,tower,000_tower,tower,2320,2261
2020,10,44,30,alaart,001_alaart2nd,alaart2z,2803,3540
2020,10,44,30,alaart,002_alaart3rd,alaart3z,3525,2813
2020,10,44,30,mbk,000_g,ga,8202,8227
