year,month,week,day,building,floor,direction,area,count
2020,10,43,23,mbk,001_2nd,exit,lift_19,247
2020,10,43,23,mbk,001_2nd,exit,lift_tower_1,0
2020,10,43,23,mbk,001_2nd,exit,lift_tower_2,10
2020,10,43,23,mbk,001_2nd,exit,lift_tower_3,9
2020,10,43,23,mbk,001_2nd,exit,lift_tower_4,1
2020,10,43,23,mbk,001_2nd,exit,lift_tower_5,0
2020,10,43,23,mbk,001_2nd,exit,parking,4169
2020,10,43,23,mbk,001_2nd,exit,tokyu,1780
2020,10,43,23,mbk,002_3rd,entrance,000_tokyu,1259
2020,10,43,23,mbk,002_3rd,entrance,001_2nd,8766
2020,10,43,23,mbk,002_3rd,entrance,003_4th,8428
2020,10,43,23,mbk,002_3rd,entrance,bts,3225
2020,10,43,23,mbk,002_3rd,entrance,chula,1333
2020,10,43,23,mbk,002_3rd,entrance,lift_10,115
2020,10,43,23,mbk,002_3rd,entrance,lift_11,182
2020,10,43,23,mbk,002_3rd,entrance,lift_12,166
2020,10,43,23,mbk,002_3rd,entrance,lift_13,115
2020,10,43,23,mbk,002_3rd,entrance,lift_14,134
2020,10,43,23,mbk,002_3rd,entrance,lift_15,197
2020,10,43,23,mbk,002_3rd,entrance,lift_16,142
2020,10,43,23,mbk,002_3rd,entrance,lift_17,83
2020,10,43,23,mbk,002_3rd,entrance,lift_18,112
2020,10,43,23,mbk,002_3rd,entrance,lift_19,111
2020,10,43,23,mbk,002_3rd,entrance,parking,2150
2020,10,43,23,mbk,002_3rd,exit,000_tokyu,1340
2020,10,43,23,mbk,002_3rd,exit,001_2nd,7956
2020,10,43,23,mbk,002_3rd,exit,003_4th,9603
2020,10,43,23,mbk,002_3rd,exit,bts,3339
2020,10,43,23,mbk,002_3rd,exit,chula,1378
2020,10,43,23,mbk,002_3rd,exit,lift_10,189
2020,10,43,23,mbk,002_3rd,exit,lift_11,159
2020,10,43,23,mbk,002_3rd,exit,lift_12,161
2020,10,43,23,mbk,002_3rd,exit,lift_13,116
2020,10,43,23,mbk,002_3rd,exit,lift_14,114
2020,10,43,23,mbk,002_3rd,exit,lift_15,220
2020,10,43,23,mbk,002_3rd,exit,lift_16,226
2020,10,43,23,mbk,002_3rd,exit,lift_17,137
2020,10,43,23,mbk,002_3rd,exit,lift_18,162
2020,10,43,23,mbk,002_3rd,exit,lift_19,113
2020,10,43,23,mbk,002_3rd,exit,parking,2440
2020,10,43,23,mbk,003_4th,entrance,000_tokyu,1736
2020,10,43,23,mbk,003_4th,entrance,002_3rd,9603
2020,10,43,23,mbk,003_4th,entrance,004_5th,5878
2020,10,43,23,mbk,003_4th,entrance,lift_10,421
2020,10,43,23,mbk,003_4th,entrance,lift_11,297
2020,10,43,23,mbk,003_4th,entrance,lift_12,299
2020,10,43,23,mbk,003_4th,entrance,lift_13,156
2020,10,43,23,mbk,003_4th,entrance,lift_14,189
2020,10,43,23,mbk,003_4th,entrance,lift_15,344
2020,10,43,23,mbk,003_4th,entrance,lift_16,283
2020,10,43,23,mbk,003_4th,entrance,lift_17,194
2020,10,43,23,mbk,003_4th,entrance,lift_18,180
2020,10,43,23,mbk,003_4th,entrance,lift_19,161
2020,10,43,23,mbk,003_4th,entrance,parking,1779
2020,10,43,23,mbk,003_4th,exit,000_tokyu,1680
2020,10,43,23,mbk,003_4th,exit,002_3rd,8428
2020,10,43,23,mbk,003_4th,exit,004_5th,5510
2020,10,43,23,mbk,003_4th,exit,lift_10,528
2020,10,43,23,mbk,003_4th,exit,lift_11,411
2020,10,43,23,mbk,003_4th,exit,lift_12,411
2020,10,43,23,mbk,003_4th,exit,lift_13,151
2020,10,43,23,mbk,003_4th,exit,lift_14,164
2020,10,43,23,mbk,003_4th,exit,lift_15,290
2020,10,43,23,mbk,003_4th,exit,lift_16,247
2020,10,43,23,mbk,003_4th,exit,lift_17,258
2020,10,43,23,mbk,003_4th,exit,lift_18,274
2020,10,43,23,mbk,003_4th,exit,lift_19,260
2020,10,43,23,mbk,003_4th,exit,parking,2190
2020,10,43,23,mbk,004_5th,entrance,000_tokyu,2046
2020,10,43,23,mbk,004_5th,entrance,003_4th,5510
2020,10,43,23,mbk,004_5th,entrance,005_6th,6170
2020,10,43,23,mbk,004_5th,entrance,lift_10,112
2020,10,43,23,mbk,004_5th,entrance,lift_11,157
2020,10,43,23,mbk,004_5th,entrance,lift_12,130
2020,10,43,23,mbk,004_5th,entrance,lift_13,109
2020,10,43,23,mbk,004_5th,entrance,lift_14,101
2020,10,43,23,mbk,004_5th,entrance,lift_15,189
2020,10,43,23,mbk,004_5th,entrance,lift_16,128
2020,10,43,23,mbk,004_5th,entrance,lift_17,112
2020,10,43,23,mbk,004_5th,entrance,lift_18,100
2020,10,43,23,mbk,004_5th,entrance,lift_19,108
2020,10,43,23,mbk,004_5th,entrance,lift_tower_1,0
2020,10,43,23,mbk,004_5th,entrance,lift_tower_2,11
2020,10,43,23,mbk,004_5th,entrance,lift_tower_3,0
2020,10,43,23,mbk,004_5th,entrance,lift_tower_4,2
2020,10,43,23,mbk,004_5th,entrance,parking,917
2020,10,43,23,mbk,004_5th,exit,000_tokyu,2037
2020,10,43,23,mbk,004_5th,exit,003_4th,5878
2020,10,43,23,mbk,004_5th,exit,005_6th,5667
2020,10,43,23,mbk,004_5th,exit,lift_10,123
2020,10,43,23,mbk,004_5th,exit,lift_11,108
2020,10,43,23,mbk,004_5th,exit,lift_12,98
2020,10,43,23,mbk,004_5th,exit,lift_13,90
2020,10,43,23,mbk,004_5th,exit,lift_14,112
2020,10,43,23,mbk,004_5th,exit,lift_15,139
2020,10,43,23,mbk,004_5th,exit,lift_16,109
2020,10,43,23,mbk,004_5th,exit,lift_17,101
2020,10,43,23,mbk,004_5th,exit,lift_18,98
2020,10,43,23,mbk,004_5th,exit,lift_19,83
2020,10,43,23,mbk,004_5th,exit,lift_tower_1,0
2020,10,43,23,mbk,004_5th,exit,lift_tower_2,14
2020,10,43,23,mbk,004_5th,exit,lift_tower_3,0
2020,10,43,23,mbk,004_5th,exit,lift_tower_4,0
2020,10,43,23,mbk,004_5th,exit,parking,1182
2020,10,43,23,mbk,005_6th,entrance,004_5th,5667
2020,10,43,23,mbk,005_6th,entrance,006_7th,4138
2020,10,43,23,mbk,005_6th,entrance,lift_10,178
2020,10,43,23,mbk,005_6th,entrance,lift_11,171
2020,10,43,23,mbk,005_6th,entrance,lift_12,161
2020,10,43,23,mbk,005_6th,entrance,lift_13,173
2020,10,43,23,mbk,005_6th,entrance,lift_14,157
2020,10,43,23,mbk,005_6th,entrance,lift_15,243
2020,10,43,23,mbk,005_6th,entrance,lift_16,246
2020,10,43,23,mbk,005_6th,entrance,lift_17,267
2020,10,43,23,mbk,005_6th,entrance,lift_18,265
2020,10,43,23,mbk,005_6th,entrance,lift_19,244
2020,10,43,23,mbk,005_6th,entrance,parking,1151
2020,10,43,23,mbk,005_6th,exit,004_5th,6170
2020,10,43,23,mbk,005_6th,exit,006_7th,4270
2020,10,43,23,mbk,005_6th,exit,lift_10,176
2020,10,43,23,mbk,005_6th,exit,lift_11,154
2020,10,43,23,mbk,005_6th,exit,lift_12,122
2020,10,43,23,mbk,005_6th,exit,lift_13,164
2020,10,43,23,mbk,005_6th,exit,lift_14,155
2020,10,43,23,mbk,005_6th,exit,lift_15,324
2020,10,43,23,mbk,005_6th,exit,lift_16,278
2020,10,43,23,mbk,005_6th,exit,lift_17,205
2020,10,43,23,mbk,005_6th,exit,lift_18,203
2020,10,43,23,mbk,005_6th,exit,lift_19,196
2020,10,43,23,mbk,005_6th,exit,parking,1347
2020,10,43,23,mbk,006_7th,entrance,005_6th,4270
2020,10,43,23,mbk,006_7th,entrance,007_8th,90
2020,10,43,23,mbk,006_7th,entrance,lift_10,255
2020,10,43,23,mbk,006_7th,entrance,lift_11,185
2020,10,43,23,mbk,006_7th,entrance,lift_12,181
2020,10,43,23,mbk,006_7th,entrance,lift_13,111
2020,10,43,23,mbk,006_7th,entrance,lift_14,97
2020,10,43,23,mbk,006_7th,entrance,lift_15,243
2020,10,43,23,mbk,006_7th,entrance,lift_16,248
2020,10,43,23,mbk,006_7th,entrance,lift_17,214
2020,10,43,23,mbk,006_7th,entrance,lift_18,185
2020,10,43,23,mbk,006_7th,entrance,lift_19,148
2020,10,43,23,mbk,006_7th,exit,005_6th,4138
2020,10,43,23,mbk,006_7th,exit,007_8th,89
2020,10,43,23,mbk,006_7th,exit,lift_10,219
2020,10,43,23,mbk,006_7th,exit,lift_11,155
2020,10,43,23,mbk,006_7th,exit,lift_12,216
2020,10,43,23,mbk,006_7th,exit,lift_13,120
2020,10,43,23,mbk,006_7th,exit,lift_14,135
