Floor,Direction,Area,Count
7th,entrance,lift_12,219.0
7th,entrance,lift_13,97.0
7th,entrance,lift_14,89.0
7th,entrance,lift_15,260.0
7th,entrance,lift_16,241.0
7th,entrance,lift_17,186.0
7th,entrance,lift_18,176.0
7th,entrance,lift_19,182.0
7th,exit,6th,4120.0
7th,exit,8th,405.0
7th,exit,lift_10,210.0
7th,exit,lift_11,193.0
7th,exit,lift_12,214.0
7th,exit,lift_13,127.0
7th,exit,lift_14,139.0
7th,exit,lift_15,251.0
7th,exit,lift_16,246.0
7th,exit,lift_17,163.0
7th,exit,lift_18,172.0
7th,exit,lift_19,170.0
G,entrance,2nd,5288.0
G,entrance,ground,3627.0
G,entrance,hotel,725.0
G,entrance,lift_10,383.0
G,entrance,lift_11,409.0
G,entrance,lift_12,474.0
G,entrance,lift_13,210.0
G,entrance,lift_14,228.0
G,entrance,lift_15,317.0
G,entrance,lift_16,287.0
G,entrance,lift_17,415.0
G,entrance,lift_18,349.0
G,entrance,lift_19,363.0
G,entrance,lift_tower_1,423.0
G,entrance,lift_tower_2,128.0
G,entrance,lift_tower_3,77.0
G,entrance,lift_tower_4,149.0
G,entrance,lift_tower_5,86.0
G,entrance,parking,2271.0
G,entrance,service,1047.0
G,entrance,taxi,870.0
G,entrance,tokyu,1136.0
G,entrance,tower,203.0
G,exit,2nd,5225.0
G,exit,ground,3177.0
G,exit,hotel,637.0
G,exit,lift_10,492.0
G,exit,lift_11,461.0
G,exit,lift_12,491.0
G,exit,lift_13,288.0
G,exit,lift_14,293.0
G,exit,lift_15,438.0
G,exit,lift_16,400.0
G,exit,lift_17,432.0
G,exit,lift_18,325.0
G,exit,lift_19,367.0
G,exit,lift_tower_1,408.0
G,exit,lift_tower_2,137.0
G,exit,lift_tower_3,106.0
G,exit,lift_tower_4,171.0
G,exit,lift_tower_5,115.0
G,exit,parking,1892.0
G,exit,service,1004.0
G,exit,taxi,837.0
G,exit,tokyu,965.0
G,exit,tower,154.0
alaart2nd,entrance,alaart1st,1577.0
alaart2nd,entrance,alaart3rd,801.0
alaart2nd,exit,alaart1st,1454.0
alaart2nd,exit,alaart3rd,1504.0
alaart3rd,entrance,alaart,1509.0
alaart3rd,entrance,alaart2nd,1504.0
alaart3rd,exit,alaart,1600.0
alaart3rd,exit,alaart2nd,801.0
tokyu,entrance,2nd,1643.0
tokyu,entrance,3rd,1304.0
tokyu,entrance,4th,1666.0
tokyu,entrance,5th,2369.0
tokyu,entrance,G,1184.0
tokyu,entrance,tokyu,2774.0
tokyu,exit,2nd,1743.0
tokyu,exit,3rd,1166.0
tokyu,exit,4th,1843.0
tokyu,exit,5th,2285.0
tokyu,exit,G,1151.0
tokyu,exit,tokyu,2695.0
tower,entrance,lift_tower_1,417.0
tower,entrance,lift_tower_2,337.0
tower,entrance,lift_tower_3,309.0
tower,entrance,lift_tower_4,200.0
tower,entrance,lift_tower_5,115.0
tower,exit,lift_tower_1,429.0
tower,exit,lift_tower_2,323.0
tower,exit,lift_tower_3,310.0
tower,exit,lift_tower_4,182.0
tower,exit,lift_tower_5,86.0
