year,month,week,day,building,direction,area,count
2020,10,44,26,mbk,entrance,chula,1563
2020,10,44,26,mbk,entrance,ground,3142
2020,10,44,26,mbk,entrance,hotel,742
2020,10,44,26,mbk,entrance,parking,11573
2020,10,44,26,mbk,entrance,service,1087
2020,10,44,26,mbk,entrance,taxi,765
2020,10,44,26,mbk,entrance,tokyu,2303
2020,10,44,26,mbk,entrance,tower,290
2020,10,44,26,mbk,exit,alaart,2264
2020,10,44,26,mbk,exit,bts,5732
2020,10,44,26,mbk,exit,chula,1590
2020,10,44,26,mbk,exit,ground,2513
2020,10,44,26,mbk,exit,hotel,581
2020,10,44,26,mbk,exit,parking,12140
2020,10,44,26,mbk,exit,service,1024
2020,10,44,26,mbk,exit,taxi,703
2020,10,44,26,mbk,exit,tokyu,2470
2020,10,44,26,mbk,exit,tower,204
2020,10,44,26,tokyu,entrance,bts,1363
2020,10,44,26,tokyu,entrance,ground,940
2020,10,44,26,tokyu,entrance,mbk,7386
2020,10,44,26,tokyu,exit,bts,1785
2020,10,44,26,tokyu,exit,ground,685
2020,10,44,26,tokyu,exit,mbk,7069
2020,10,44,26,tower,entrance,lift_tower_1,652
2020,10,44,26,tower,entrance,lift_tower_2,634
2020,10,44,26,tower,entrance,lift_tower_3,527
2020,10,44,26,tower,entrance,lift_tower_4,256
2020,10,44,26,tower,entrance,lift_tower_5,146
2020,10,44,26,tower,exit,lift_tower_1,695
2020,10,44,26,tower,exit,lift_tower_2,503
2020,10,44,26,tower,exit,lift_tower_3,548
2020,10,44,26,tower,exit,lift_tower_4,227
2020,10,44,26,tower,exit,lift_tower_5,100
2020,10,44,27,alaart,entrance,alaart,2877
2020,10,44,27,alaart,exit,alaart,2848
2020,10,44,27,mbk,entrance,alaart,3455
2020,10,44,27,mbk,entrance,bts,5261
2020,10,44,27,mbk,entrance,chula,1714
2020,10,44,27,mbk,entrance,ground,3485
2020,10,44,27,mbk,entrance,hotel,774
2020,10,44,27,mbk,entrance,parking,12255
2020,10,44,27,mbk,entrance,service,1158
2020,10,44,27,mbk,entrance,taxi,864
2020,10,44,27,mbk,entrance,tokyu,2353
2020,10,44,27,mbk,entrance,tower,241
2020,10,44,27,mbk,exit,alaart,2506
2020,10,44,27,mbk,exit,bts,6295
2020,10,44,27,mbk,exit,chula,1713
2020,10,44,27,mbk,exit,ground,2400
2020,10,44,27,mbk,exit,hotel,715
2020,10,44,27,mbk,exit,parking,12998
